"","DriverGender","DriverMaritalStatus","DriverAge","Fault","VehicleCategory","VehiclePrice","FraudFound","Deductible","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","NumberOfCars","IncidentYear","BasePolicy","VehOrigin"
"994","Male","Married",28,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1996","All Perils","USA"
"995","Male","Married",60,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","3 to 5","1 vehicle","1994","Collision","USA"
"996","Male","Married",70,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","Liability","USA"
"997","Male","Married",36,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1996","Collision","USA"
"998","Male","Married",61,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","none","more than 7","No","No","External","none","3 to 4","1994","Collision","USA"
"999","Female","Married",37,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1995","Liability","USA"
"1000","Male","Married",53,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1994","Liability","USA"
"1008","Male","Married",56,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1995","Liability","USA"
"1009","Male","Married",50,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","1 to 2","1 vehicle","1995","All Perils","USA"
"1010","Male","Married",39,"Third Party","Sport","more than 69000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"1011","Male","Married",44,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"1013","Male","Single",33,"Third Party","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1014","Male","Married",33,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"1016","Male","Married",31,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"1017","Male","Single",46,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1995","All Perils","USA"
"1018","Male","Married",28,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"1019","Male","Married",52,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1020","Female","Single",46,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1995","All Perils","USA"
"1021","Male","Single",29,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Liability","USA"
"1023","Male","Married",35,"Policy Holder","Sport","60000 to 69000",0,"400","more than 30","more than 30","none","6 years","No","No","External","3 to 5","1 vehicle","1996","Liability","USA"
"1024","Male","Married",33,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","USA"
"1025","Male","Married",48,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1027","Male","Single",34,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"1029","Male","Married",32,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"1030","Male","Married",32,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","6 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"1031","Male","Married",48,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1032","Female","Married",48,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Liability","USA"
"1033","Female","Married",34,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"1034","Female","Married",31,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1996","Collision","USA"
"1035","Male","Married",35,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","Collision","USA"
"1036","Male","Married",26,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"1038","Male","Married",51,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1039","Male","Single",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","1 to 2","1 vehicle","1995","All Perils","USA"
"1040","Male","Married",43,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"1041","Male","Single",32,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","3 to 5","1 vehicle","1996","Liability","USA"
"1043","Male","Single",35,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1996","Collision","USA"
"1044","Male","Married",39,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"1045","Male","Single",30,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1047","Male","Married",37,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"1048","Male","Single",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"1049","Male","Married",55,"Policy Holder","Sedan","40000 to 59000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1996","Collision","USA"
"1050","Male","Single",28,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","Yes","No","External","none","1 vehicle","1995","All Perils","USA"
"1051","Male","Married",47,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"1052","Male","Married",27,"Third Party","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1053","Male","Married",42,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","1 vehicle","1996","All Perils","USA"
"1054","Male","Married",64,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"1056","Male","Married",41,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1995","All Perils","USA"
"1058","Male","Married",46,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"1059","Male","Married",31,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"1060","Male","Single",39,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"1061","Male","Married",39,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","Liability","USA"
"1062","Male","Married",60,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"1064","Male","Married",73,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1065","Male","Married",44,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"1066","Male","Married",34,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"1068","Male","Married",50,"Policy Holder","Sedan","30000 to 39000",0,"500","more than 30","more than 30","1","more than 7","No","No","External","3 to 5","1 vehicle","1995","All Perils","USA"
"1069","Male","Married",62,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","All Perils","USA"
"1070","Female","Married",37,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"1071","Male","Married",60,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"1072","Male","Married",43,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1074","Male","Married",67,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"1076","Male","Married",31,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","1 vehicle","1995","Collision","USA"
"1077","Male","Married",78,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"1079","Male","Single",30,"Third Party","Sport","20000 to 29000",0,"500","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"1080","Male","Married",39,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","1 vehicle","1995","All Perils","USA"
"1081","Male","Married",76,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"1084","Male","Married",42,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1086","Male","Married",78,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1996","All Perils","USA"
"1088","Male","Married",50,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"1089","Male","Single",29,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"1090","Male","Married",32,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"1091","Male","Married",49,"Third Party","Sedan","30000 to 39000",0,"700","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","All Perils","USA"
"1092","Male","Single",26,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","Yes","No","External","1 to 2","1 vehicle","1994","Collision","USA"
"1093","Male","Married",39,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","Yes","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"1095","Male","Married",53,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","more than 5","2 vehicles","1996","Collision","USA"
"1096","Male","Married",52,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1097","Male","Married",28,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"1098","Male","Married",34,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1099","Female","Single",28,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"1100","Male","Married",54,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"1101","Male","Married",48,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"1103","Female","Single",33,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Collision","USA"
"1105","Male","Married",30,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"1107","Male","Single",26,"Third Party","Sport","20000 to 29000",0,"500","more than 30","more than 30","none","7 years","No","No","External","3 to 5","2 vehicles","1994","Liability","USA"
"1108","Female","Married",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1995","Collision","USA"
"1109","Male","Married",34,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"1111","Male","Married",44,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","3 to 4","1995","Collision","USA"
"1113","Male","Married",29,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","2 vehicles","1995","Liability","USA"
"1114","Female","Single",31,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","1 to 2","1 vehicle","1994","Collision","USA"
"1115","Male","Married",45,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","2 vehicles","1994","Collision","USA"
"1116","Male","Married",34,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1994","Collision","USA"
"1117","Male","Single",21,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"1118","Male","Single",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","3 to 5","1 vehicle","1996","Collision","USA"
"1119","Male","Married",46,"Policy Holder","Sedan","40000 to 59000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"1121","Male","Single",49,"Third Party","Sport","40000 to 59000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1123","Male","Single",30,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","3 to 4","1994","Collision","USA"
"1126","Male","Married",30,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1996","All Perils","USA"
"1127","Male","Married",42,"Third Party","Sedan","20000 to 29000",1,"500","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"1129","Male","Single",49,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","USA"
"1130","Male","Married",30,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"1131","Male","Single",35,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"1133","Female","Single",48,"Policy Holder","Sedan","40000 to 59000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"1134","Male","Married",35,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","1 vehicle","1994","Collision","USA"
"1135","Male","Married",43,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","4 years","Yes","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"1136","Male","Married",35,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1995","Collision","USA"
"1137","Male","Single",35,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"1138","Male","Married",54,"Third Party","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1996","Liability","USA"
"1139","Male","Single",39,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1995","All Perils","USA"
"1140","Male","Single",35,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","3 to 4","1995","Liability","USA"
"1141","Male","Married",26,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","2 vehicles","1994","Liability","USA"
"1142","Male","Married",32,"Third Party","Sedan","60000 to 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1996","All Perils","USA"
"1143","Male","Married",50,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","USA"
"1144","Male","Married",42,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1146","Male","Single",35,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"1149","Male","Single",27,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","Yes","No","External","1 to 2","1 vehicle","1995","Collision","USA"
"1150","Male","Married",41,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Liability","USA"
"1151","Female","Single",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"1152","Male","Married",55,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1153","Male","Single",48,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1996","All Perils","USA"
"1154","Male","Married",40,"Policy Holder","Sedan","30000 to 39000",0,"500","15 to 30","more than 30","1","7 years","No","No","External","1 to 2","1 vehicle","1995","Collision","USA"
"1156","Male","Married",72,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1996","Collision","USA"
"1157","Male","Married",46,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1996","Collision","USA"
"1158","Male","Married",61,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1996","Collision","USA"
"1159","Male","Single",35,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1994","Liability","USA"
"1160","Male","Married",53,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","1 vehicle","1996","All Perils","USA"
"1161","Male","Married",36,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1162","Male","Single",33,"Policy Holder","Sedan","more than 69000",0,"500","more than 30","more than 30","none","6 years","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"1163","Male","Married",37,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"1165","Male","Married",40,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Liability","USA"
"1166","Male","Married",31,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","3 to 5","1 vehicle","1994","Collision","USA"
"1167","Male","Married",51,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1995","All Perils","USA"
"1169","Male","Single",34,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","1 vehicle","1995","All Perils","USA"
"1170","Male","Single",39,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"1171","Male","Married",49,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","2 vehicles","1995","Collision","USA"
"1172","Male","Married",54,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","Yes","No","External","more than 5","1 vehicle","1995","Collision","USA"
"1173","Male","Married",35,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","USA"
"1174","Male","Married",52,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","2 vehicles","1994","All Perils","USA"
"1175","Male","Married",39,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1995","Collision","USA"
"1179","Male","Married",47,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","Yes","No","External","none","1 vehicle","1996","Collision","USA"
"1181","Male","Married",31,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","1 vehicle","1995","All Perils","USA"
"1182","Male","Married",55,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"1183","Male","Married",40,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1994","All Perils","USA"
"1185","Male","Married",52,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","3 to 4","1994","Liability","USA"
"1186","Male","Single",32,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"1187","Male","Married",53,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","1 to 2","1 vehicle","1994","All Perils","USA"
"1188","Male","Married",53,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","All Perils","USA"
"1189","Male","Single",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1996","Collision","USA"
"1190","Male","Married",61,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"1191","Male","Single",49,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","none","more than 7","No","No","External","none","3 to 4","1995","All Perils","USA"
"1195","Female","Married",48,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1996","All Perils","USA"
"1196","Male","Married",37,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","USA"
"1197","Male","Married",49,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","All Perils","USA"
"1198","Male","Married",50,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1995","All Perils","USA"
"1199","Male","Married",54,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","All Perils","USA"
"1200","Male","Married",55,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","Collision","USA"
"1202","Female","Single",30,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1994","Collision","USA"
"1203","Male","Married",45,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","USA"
"1204","Male","Married",33,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1205","Male","Married",42,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","USA"
"1207","Male","Married",40,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1995","Liability","USA"
"1208","Male","Married",54,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1996","Collision","USA"
"1209","Male","Married",55,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Liability","USA"
"1210","Male","Married",38,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","USA"
"1212","Male","Married",44,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","USA"
"1213","Female","Married",47,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","Collision","USA"
"1214","Male","Married",48,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Collision","USA"
